Классы
	Animatable	Абстрактный класс, который обеспечивает поддержку анимации. 
	ColorAnimation	Выполняет анимацию значения свойства Color между двумя целевыми значениями с использованием линейной интерполяции в указанном интервале Duration. 
	ColorAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Color. 
	ColorAnimationUsingKeyFrames	Выполняет анимацию значения свойства Color по набору KeyFrames в соответствии с указанным значением Duration. 
	ColorKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта ColorAnimationUsingKeyFrames. 
	ColorKeyFrameCollection	Представляет коллекцию объектов ColorKeyFrame. 
	ControllableStoryboardAction	Манипулирует свойством Storyboard, которое было применено свойством BeginStoryboard.
	DecimalAnimation	Выполняет анимацию значения свойства Decimal между двумя целевыми значениями с использованием линейной интерполяции в указанном интервале Duration. 
	DecimalAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Decimal. 
	DecimalAnimationUsingKeyFrames	Выполняет анимацию значения свойства Decimal по набору KeyFrames.
	DecimalKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта DecimalAnimationUsingKeyFrames. 
	DecimalKeyFrameCollection	Представляет коллекцию объектов DecimalKeyFrame. 
	DiscreteBooleanKeyFrame	Выполняет анимацию от значения Boolean предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteByteKeyFrame	Выполняет анимацию от значения Byte предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteCharKeyFrame	Выполняет анимацию от значения Char предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteColorKeyFrame	Выполняет анимацию от значения Color предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteDecimalKeyFrame	Выполняет анимацию от значения Decimal предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteDoubleKeyFrame	Выполняет анимацию от значения Double предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteInt16KeyFrame	Выполняет анимацию от значения Int16 предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteInt32KeyFrame	Выполняет анимацию от значения Int32 предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteInt64KeyFrame	Выполняет анимацию от значения Int64 предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteMatrixKeyFrame	Выполняет анимацию от значения Matrix предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteObjectKeyFrame	Выполняет анимацию от значения Object предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscretePoint3DKeyFrame	Выполняет анимацию от значения Point3D предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscretePointKeyFrame	Выполняет анимацию от значения Point предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteQuaternionKeyFrame	Выполняет анимацию от значения Quaternion предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteRectKeyFrame	Выполняет анимацию от значения Rect предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteRotation3DKeyFrame	Выполняет анимацию от значения Rotation3D предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteSingleKeyFrame	Выполняет анимацию от значения Single предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteSizeKeyFrame	Выполняет анимацию от значения Size предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteStringKeyFrame	Выполняет анимацию от значения String предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteThicknessKeyFrame	Выполняет анимацию от значения Thickness предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteVector3DKeyFrame	Выполняет анимацию с значения Vector3D предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DiscreteVectorKeyFrame	Выполняет анимацию от значения Vector предыдущего ключевого кадра до собственного значения Value с использованием дискретной интерполяции. 
	DoubleAnimation	Выполняет анимацию значения свойства Double между двумя целевыми значениями с использованием линейной интерполяции в указанном интервале Duration. 
	DoubleAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Double. 
	DoubleAnimationUsingKeyFrames	Выполняет анимацию значения свойства Double по набору KeyFrames.
	DoubleAnimationUsingPath	Выполняет анимацию значения свойства Double между двумя или более целевыми значениями с использованием объекта PathGeometry для определения этих значений. Эта анимация может использоваться для перемещения визуального объекта по пути. 
	DoubleKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта DoubleAnimationUsingKeyFrames. 
	DoubleKeyFrameCollection	Представляет коллекцию объектов DoubleKeyFrame. 
	Int16Animation	Выполняет анимацию значения свойства Int16 между двумя целевыми значениями с использованием линейной интерполяции в указанном интервале Duration. 
	Int16AnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Int16. 
	Int16AnimationUsingKeyFrames	Выполняет анимацию значения свойства Int16 по набору KeyFrames.
	Int16KeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта Int16AnimationUsingKeyFrames. 
	Int16KeyFrameCollection	Представляет коллекцию объектов Int16KeyFrame. 
	Int32Animation	Выполняет анимацию значения свойства Int32 между двумя целевыми значениями с использованием линейной интерполяции в указанном интервале Duration. 
	Int32AnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Int32. 
	Int32AnimationUsingKeyFrames	Выполняет анимацию значения свойства Int32 по набору KeyFrames.
	Int32KeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта Int32AnimationUsingKeyFrames. 
	Int32KeyFrameCollection	Представляет коллекцию объектов Int32KeyFrame. 
	Int64Animation	Выполняет анимацию значения свойства Int64 между двумя целевыми значениями с использованием линейной интерполяции в указанном интервале Duration. 
	Int64AnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Int64. 
	Int64AnimationUsingKeyFrames	Выполняет анимацию значения свойства Int64 по набору KeyFrames.
	Int64KeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта Int64AnimationUsingKeyFrames. 
	Int64KeyFrameCollection	Представляет коллекцию объектов Int64KeyFrame. 
	KeySpline	Этот класс используется ключевым кадром сплайна для определения степени выполнения анимации. 
	LinearByteKeyFrame	Выполняет анимацию от значения Byte предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearColorKeyFrame	Выполняет анимацию от значения Color предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearDecimalKeyFrame	Выполняет анимацию от значения Decimal предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearDoubleKeyFrame	Выполняет анимацию от значения Double предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearInt16KeyFrame	Выполняет анимацию от значения Int16 предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearInt32KeyFrame	Выполняет анимацию от значения Int32 предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearInt64KeyFrame	Выполняет анимацию от значения Int64 предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearPoint3DKeyFrame	Выполняет анимацию от значения Point3D предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearPointKeyFrame	Выполняет анимацию от значения Point предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearQuaternionKeyFrame	Выполняет анимацию от значения Quaternion предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции.
	LinearRectKeyFrame	Выполняет анимацию от значения Rect предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearRotation3DKeyFrame	Выполняет анимацию от значения Rotation3D предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearSingleKeyFrame	Выполняет анимацию от значения Single предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearSizeKeyFrame	Выполняет анимацию с значения Size предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearThicknessKeyFrame	Выполняет анимацию от значения Thickness предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearVector3DKeyFrame	Выполняет анимацию от значения Vector3D предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	LinearVectorKeyFrame	Выполняет анимацию от значения Vector предыдущего ключевого кадра до собственного значения Value с использованием линейной интерполяции. 
	MatrixAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Matrix. 
	MatrixAnimationUsingKeyFrames	Выполняет анимацию значения свойства Matrix по набору KeyFrames.
	MatrixAnimationUsingPath	Выполняет анимацию значения свойства Matrix с использованием значения PathGeometry для создания анимированных значений. Эта анимация может использоваться для перемещения визуального объекта по пути. 
	MatrixKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта MatrixAnimationUsingKeyFrames. 
	MatrixKeyFrameCollection	Представляет коллекцию объектов MatrixKeyFrame. 
	ObjectAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Object. 
	ObjectAnimationUsingKeyFrames	Выполняет анимацию значения свойства Object по набору KeyFrames в соответствии с указанным значением Duration.
	ObjectKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта ObjectAnimationUsingKeyFrames. 
	ObjectKeyFrameCollection	Представляет коллекцию объектов ObjectKeyFrame.
	ParallelTimeline	Определяет интервал времени, который может содержать дочерние объекты Timeline. Эти дочерние временные шкалы становятся активными в зависимости от значений свойств BeginTime этих шкал. Кроме того, дочерние временные шкалы могут пересекаться друг с другом (выполняться параллельно).
	PauseStoryboard	Действие триггера, которое приостанавливает объект Storyboard.
	Point3DAnimation	Выполняет анимацию значения свойства Point3D между двумя значениями с использованием линейной интерполяции. 
	Point3DAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Point3D.
	Point3DAnimationUsingKeyFrames	Выполняет анимацию значения свойства Point3D по набору KeyFrames.
	Point3DKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта Point3DAnimationUsingKeyFrames. 
	Point3DKeyFrameCollection	Представляет коллекцию объектов Point3DKeyFrame. 
	PointAnimation	Выполняет анимацию значения свойства Point между двумя целевыми значениями с использованием линейной интерполяции в указанном интервале Duration. 
	PointAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Point. 
	PointAnimationUsingKeyFrames	Выполняет анимацию значения свойства Point по набору KeyFrames.
	PointAnimationUsingPath	Выполняет анимацию значения свойства Point между двумя или более целевыми значениями с использованием объекта PathGeometry для определения этих значений. Эта анимация может использоваться для перемещения визуального объекта по пути.
	PointKeyFrame	Определяет сегмент анимации с собственным целевым значением и методом интерполяции для PointAnimationUsingKeyFrames. 
	PointKeyFrameCollection	Представляет коллекцию объектов PointKeyFrame. 
	QuaternionAnimation	Выполняет анимацию значения свойства Quaternion между двумя целевыми значениями с использованием линейной интерполяции в указанном интервале Duration.
	QuaternionAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Quaternion.
	QuaternionAnimationUsingKeyFrames	Выполняет анимацию значения свойства Quaternion по набору KeyFrames в соответствии с указанным значением Duration.
	QuaternionKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта QuaternionAnimationUsingKeyFrames. 
	QuaternionKeyFrameCollection	Представляет набор объектов QuaternionKeyFrame. 
	RectAnimation	Выполняет анимацию значения свойства Rect между двумя целевыми значениями с использованием линейной интерполяции. 
	RectAnimationBase	Абстрактный класс, который в случае реализации анимирует значение Rect. 
	RectAnimationUsingKeyFrames	Выполняет анимацию значения свойства, которое принимает значение Rect, по набору ключевых кадров.
	RectKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта RectAnimationUsingKeyFrames. 
	RectKeyFrameCollection	Представляет коллекцию объектов RectKeyFrame. 
	RemoveStoryboard	Действие триггера, которое удаляет объект Storyboard.
	RepeatBehaviorConverter	Преобразует экземпляры класса RepeatBehavior и выполняет обратное преобразование.
	ResumeStoryboard	Поддерживает действие триггера, которое возобновляет приостановленный объект Storyboard.
	Rotation3DAnimation	Выполн��ет анимацию свойства Rotation3D с использованием линейной интерполяции между двумя значениями, которые определяются сочетанием свойств From, To или By, установленных для этой анимации. 
	Rotation3DAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Rotation3D.
	Rotation3DAnimationUsingKeyFrames	Выполняет анимацию значения свойства Rotation3D по набору KeyFrames.
	Rotation3DKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта Rotation3DAnimationUsingKeyFrames. 
	Rotation3DKeyFrameCollection	Представляет коллекцию объектов Rotation3DKeyFrame. 
	SeekStoryboard	Действие триггера, обеспечивающее функциональность для поиска указанного времени (перехода к нему) в активном периоде объекта Storyboard.
	SetStoryboardSpeedRatio	Действие триггера, изменяющее скорость Storyboard.
	SingleAnimation	Выполняет анимацию значения свойства Single между двумя целевыми значениями с использованием линейной интерполяции в указанном интервале Duration. 
	SingleAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Single. 
	SingleAnimationUsingKeyFrames	Выполняет анимацию значения свойства Single по набору KeyFrames.
	SingleKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта SingleAnimationUsingKeyFrames. 
	SingleKeyFrameCollection	Представляет коллекцию объектов SingleKeyFrame. 
	SizeAnimation	Выполняет анимацию значения свойства Size между двумя целевыми значениями с использованием линейной интерполяции в указанном интервале Duration. 
	SizeAnimationBase	Абстрактный класс, который в случае реализации анимирует значение Size. 
	SizeAnimationUsingKeyFrames	Выполняет анимацию значения свойства Size по набору KeyFrames.
	SizeKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта SizeAnimationUsingKeyFrames. 
	SizeKeyFrameCollection	Представляет коллекцию объектов SizeKeyFrame. 
	SkipStoryboardToFill	Действие триггера, перемещающее объект Storyboard в конец его периода заполнения. 
	SplineByteKeyFrame	Выполняет анимацию от значения Byte предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplineColorKeyFrame	Выполняет анимацию от значения Color предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplineDecimalKeyFrame	Выполняет анимацию от значения Decimal предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplineDoubleKeyFrame	Выполняет анимацию от значения Double предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplineInt16KeyFrame	Выполняет анимацию от значения Int16 предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplineInt32KeyFrame	Выполняет анимацию от значения Int32 предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplineInt64KeyFrame	Выполняет анимацию от значения Int64 предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplinePoint3DKeyFrame	Выполняет анимацию от значения Point3D предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplinePointKeyFrame	Выполняет анимацию от значения Point предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplineQuaternionKeyFrame	Выполняет анимацию от значения Quaternion предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplineRectKeyFrame	Выполняет анимацию от значения Rect предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplineRotation3DKeyFrame	Выполняет анимацию от значения Rotation3D предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplineSingleKeyFrame	Выполняет анимацию от значения Single предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplineSizeKeyFrame	Выполняет анимацию от значения Size предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplineThicknessKeyFrame	Выполняет анимацию от значения Thickness предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplineVector3DKeyFrame	Выполняет анимацию от значения Vector3D предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	SplineVectorKeyFrame	Выполняет анимацию от значения Vector предыдущего ключевого кадра до собственного значения Value с использованием интерполяции сплайнами. 
	StopStoryboard	Действие триггера, которое останавливает объект Storyboard.
	Storyboard	Шкала времени контейнера, которая предоставляет объект и свойство, содержащие сведения о дочерних анимациях. 
	StringAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения String. 
	StringAnimationUsingKeyFrames	Выполняет анимацию значения свойства String по набору KeyFrames в соответствии с указанным значением Duration. 
	StringKeyFrame	Определяет сегмент анимации с собственным целевым значением и методом интерполяции для StringAnimationUsingKeyFrames. 
	StringKeyFrameCollection	Представляет коллекцию объектов StringKeyFrame. 
	ThicknessAnimation	Выполняет анимацию значения свойства Thickness между двумя целевыми значениями с использованием линейной интерполяции в указанном интервале Duration. 
	ThicknessAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Thickness. 
	ThicknessAnimationUsingKeyFrames	Выполняет анимацию значения свойства Thickness по набору KeyFrames.
	ThicknessKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта ThicknessAnimationUsingKeyFrames. 
	ThicknessKeyFrameCollection	Представляет коллекцию объектов ThicknessKeyFrame. 
	Timeline	Определяет сегмент времени. 
	TimelineCollection	Представляет коллекцию объектов Timeline. 
	TimelineGroup	Абстрактный класс, при реализации представляющий объект Timeline, который может содержать коллекцию дочерних объектов Timeline.
	Vector3DAnimation	Выполняет анимацию значения свойства Vector3D с использованием линейной интерполяции между двумя значениями. 
	Vector3DAnimationBase	Абстрактный класс, который представлен как анимированное значение Vector3D. 
	Vector3DAnimationUsingKeyFrames	Выполняет анимацию значения свойства Vector3D по набору KeyFrames.
	Vector3DKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта Vector3DAnimationUsingKeyFrames. 
	Vector3DKeyFrameCollection	Представляет коллекцию объектов Vector3DKeyFrame. 
	VectorAnimation	Выполняет анимацию значения свойства Vector между двумя целевыми значениями с использованием линейной интерполяции в указанном интервале Duration. 
	VectorAnimationBase	Абстрактный класс, который в случае реализации выполняет анимацию значения Vector. 
	VectorAnimationUsingKeyFrames	Выполняет анимацию значения свойства Vector по набору KeyFrames.
	VectorKeyFrame	Абстрактный класс, который при реализации определяет сегмент анимации с собственным целевым значением и методом интерполяции для объекта VectorAnimationUsingKeyFrames. 
	VectorKeyFrameCollection	Представляет коллекцию объектов VectorKeyFrame. 

Структуры
	KeyTime	Во время относительного хода анимации экземпляр KeyTime указывает точное время перехода к конкретному ключевому кадру. 
	RepeatBehavior	Описывает поведение объекта Timeline при повторе своей простой длительности.
	TimelineCollection.Enumerator	Выполняет перечисление членов коллекции TimelineCollection.

Интерфейсы
	IAnimatable	Данный тип обеспечивает поддержку инфраструктуры WPF и не предназначен для непосредственного использования в коде. Чтобы класс был доступен для анимации, он должен наследовать классу UIElement, ContentElement или Animatable. 
	IKeyFrame	Реализация интерфейса IKeyFrame обеспечивает нетипизированный доступ к свойствам KeyTime. 
	IKeyFrameAnimation	Реализация интерфейса IKeyFrameAnimation обеспечивает доступ к членам коллекции ключевых кадров без указания типа. 

Перечисления
	ClockState	Описывает потенциальные состояния объекта Clock шкалы времени. 
	FillBehavior	Определяет поведение объекта Timeline вне активного периода, если его родительский объект находится в своем активном периоде или периоде сохранения. 
	HandoffBehavior	Указывает, как новые анимации должны взаимодействовать с любой из сущестующих, уже применных к свойству. 
	KeyTimeType	Указывает разные типы, которые могут представлять экземпляр KeyTime.
	PathAnimationSource	Указывает выходное значение свойства пути, используемого для выполнения анимации. 
	SlipBehavior	Определяет поведение временной шкалы ParallelTimeline при сдвиге в одном или нескольких из ее дочерних объектов Timeline.
	TimeSeekOrigin	Указывает источник операции поиска. Смещение операции поиска выполняется относительно ее источника.
